U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699545667676377100,56466.6183784,16:01:07:676377,H,,,
1699545677590946000,56476.5329981,16:01:17:590946,FAKE:1200,,,
1699545677686323700,56476.6289796,16:01:17:686324,H,,,
1699545678601999400,56477.5443397,16:01:18:601999,FAKE:1200,,,
1699545679611973200,56478.5541036,16:01:19:611973,FAKE:1200,,,
1699545680622243600,56479.5651007,16:01:20:622244,FAKE:1200,,,
1699545681633164000,56480.5760914,16:01:21:633164,FAKE:1200,,,
1699545682643988100,56481.5861391,16:01:22:643988,FAKE:1200,,,
1699545683655183000,56482.5971895,16:01:23:655183,FAKE:1200,,,
1699545684667111600,56483.6091035,16:01:24:667112,FAKE:1200,,,
1699545685683087600,56484.6251025,16:01:25:683088,FAKE:1200,,,
1699545686694742300,56485.6370334,16:01:26:694742,FAKE:1200,,,
1699545687704579100,56486.6471484,16:01:27:704579,FAKE:1200,,,
1699545687704579100,56486.6470483,16:01:27:704579,H,,,
1699545688707432900,56487.6500297,16:01:28:707433,FAKE:1200,,,
1699545689717251000,56488.6601251,16:01:29:717251,FAKE:1200,,,
1699545690730351700,56489.6724382,16:01:30:730352,FAKE:1200,,,
1699545691741966200,56490.6842945,16:01:31:741966,FAKE:1200,,,
1699545692756163000,56491.6982034,16:01:32:756163,FAKE:1200,,,
1699545693772290800,56492.7150421,16:01:33:772291,FAKE:1200,,,
1699545694782350200,56493.7250276,16:01:34:782350,FAKE:1200,,,
1699545695793215500,56494.7360445,16:01:35:793216,FAKE:1200,,,
1699545696807193500,56495.7491889,16:01:36:807194,FAKE:1200,,,
1699545697716724700,56496.6590124,16:01:37:716725,H,,,
1699545697829883300,56496.7723898,16:01:37:829883,FAKE:1200,,,
1699545698848218200,56497.791047,16:01:38:848218,FAKE:1200,,,
1699545699862079300,56498.8041041,16:01:39:862079,FAKE:1200,,,
1699545700873085200,56499.8151,16:01:40:873085,FAKE:1200,,,
1699545701883081800,56500.8251056,16:01:41:883082,FAKE:1200,,,
1699545702893264000,56501.836031,16:01:42:893264,FAKE:1200,,,
1699545703903210100,56502.8461216,16:01:43:903210,FAKE:1200,,,
1699545704914283900,56503.8571019,16:01:44:914284,FAKE:1200,,,
1699545705926117300,56504.8682382,16:01:45:926117,FAKE:1200,,,
1699545706936070200,56505.8781113,16:01:46:936070,FAKE:1200,,,
1699545707727719300,56506.6697519,16:01:47:727719,H,,,
1699545717739430300,56516.6822575,16:01:57:739430,H,,,
1699545727755802400,56526.6980148,16:02:07:755802,H,,,
1699545737775281500,56536.7173238,16:02:17:775281,H,,,
1699545747792301400,56546.734319,16:02:27:792301,H,,,
1699545747960045100,56546.902023,16:02:27:960045,FAKE:1200,,,
1699545748971136100,56547.9131601,16:02:28:971136,FAKE:1200,,,
1699545749981839500,56548.9240838,16:02:29:981840,FAKE:1200,,,
1699545750996201500,56549.9391029,16:02:30:996202,FAKE:1200,,,
