U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699559674033214500,70472.9756262,19:54:34:033215,H,,,
1699559684044024500,70482.9863519,19:54:44:044024,H,,,
1699559694055018600,70492.9974522,19:54:54:055018,H,,,
1699559704067261600,70503.0098174,19:55:04:067262,H,,,
1699559714079390200,70513.0218312,19:55:14:079390,H,,,
1699559724092758200,70523.0347452,19:55:24:092758,H,,,
1699559734104758500,70533.0468323,19:55:34:104759,H,,,
1699559744117785700,70543.0597838,19:55:44:117786,H,,,
1699559754128944600,70553.0717587,19:55:54:128945,H,,,
1699559764143652600,70563.0856397,19:56:04:143653,H,,,
1699559774154526000,70573.0970386,19:56:14:154526,H,,,
1699559784170803200,70583.1133622,19:56:24:170803,H,,,
1699559794183064800,70593.1256667,19:56:34:183065,H,,,
1699559804196384600,70603.138379,19:56:44:196384,H,,,
1699559814207971600,70613.1505353,19:56:54:207972,H,,,
1699559824220019300,70623.1626946,19:57:04:220019,H,,,
1699559834233830800,70633.1758628,19:57:14:233831,H,,,
1699559844247525300,70643.1895853,19:57:24:247525,H,,,
1699559854261770000,70653.203797,19:57:34:261770,H,,,
1699559864281800600,70663.2245842,19:57:44:281801,H,,,
1699559874293772800,70673.2359846,19:57:54:293773,H,,,
1699559884306955200,70683.248982,19:58:04:306955,H,,,
1699559894318198800,70693.2606807,19:58:14:318199,H,,,
1699559904330705900,70703.2731653,19:58:24:330706,H,,,
1699559914345194800,70713.2873004,19:58:34:345195,H,,,
1699559924366965100,70723.3089568,19:58:44:366965,H,,,
1699559934378663000,70733.3206569,19:58:54:378663,H,,,
1699559944390926100,70743.3329951,19:59:04:390926,H,,,
1699559954409686700,70753.3517622,19:59:14:409687,H,,,
1699559964424548900,70763.3674263,19:59:24:424549,H,,,
1699559974436682100,70773.3788991,19:59:34:436682,H,,,
1699559984454821000,70783.3968098,19:59:44:454821,H,,,
1699559994467265800,70793.409281,19:59:54:467266,H,,,
1699560004478924900,70803.4209458,20:00:04:478925,H,,,
1699560014490637100,70813.4335967,20:00:14:490637,H,,,
1699560018435166300,70817.3780407,20:00:18:435166,VECTOR_0 STARTED,0,Fake P300,
1699560019243616400,70818.1861176,20:00:19:243617,VECTOR 0 STOPPED,,,
1699560024503501800,70823.4457167,20:00:24:503502,H,,,
1699560027155579900,70826.0979828,20:00:27:155580,VECTOR_1 STARTED,1,Index of Time and Change que 2:10,
1699560027880785700,70826.8230235,20:00:27:880786,P300:1000,1,Index of Time and Change que 2:10,
1699560028893609200,70827.8356386,20:00:28:893609,P300:1000,1,Index of Time and Change que 2:10,
1699560029905603300,70828.8475702,20:00:29:905603,P300:1200,1,Index of Time and Change que 2:10,
1699560030916724700,70829.8595706,20:00:30:916725,P300:1000,1,Index of Time and Change que 2:10,
1699560031935406600,70830.8776635,20:00:31:935407,P300:1000,1,Index of Time and Change que 2:10,
1699560032946001500,70831.8886448,20:00:32:946001,P300:1000,1,Index of Time and Change que 2:10,
1699560033958353400,70832.9005716,20:00:33:958354,P300:1000,1,Index of Time and Change que 2:10,
1699560034516116000,70833.4581032,20:00:34:516116,H,1,Index of Time and Change que 2:10,
1699560034968840700,70833.9115707,20:00:34:968841,P300:1000,1,Index of Time and Change que 2:10,
1699560035981305100,70834.923679,20:00:35:981305,P300:1000,1,Index of Time and Change que 2:10,
1699560036993689200,70835.9357578,20:00:36:993689,P300:1200,1,Index of Time and Change que 2:10,
