U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699455641997615100,101380.4529406,15:00:41:997615,H,,,
1699455652008890300,101390.4635894,15:00:52:008890,H,,,
1699455662019596000,101400.4742334,15:01:02:019596,H,,,
1699455672031087300,101410.4856939,15:01:12:031087,H,,,
1699455682041868400,101420.4964386,15:01:22:041868,H,,,
1699455692052885500,101430.5074831,15:01:32:052886,H,,,
1699455702062824700,101440.5182113,15:01:42:062825,H,,,
1699455712074021300,101450.5288905,15:01:52:074021,H,,,
1699455722084634000,101460.5397013,15:02:02:084634,H,,,
1699455732095734400,101470.5503531,15:02:12:095734,H,,,
1699455742105876900,101480.5609874,15:02:22:105877,H,,,
1699455752117954800,101490.5725946,15:02:32:117955,H,,,
1699455762129731100,101500.5843516,15:02:42:129731,H,,,
1699455772140349400,101510.595193,15:02:52:140349,H,,,
1699455782152277500,101520.6069132,15:03:02:152277,H,,,
1699455792162756900,101530.6174026,15:03:12:162757,H,,,
1699455802173755500,101540.6283778,15:03:22:173755,H,,,
1699455812184070800,101550.6389182,15:03:32:184071,H,,,
1699455822200185300,101560.654808,15:03:42:200185,H,,,
1699455832211019100,101570.6657001,15:03:52:211019,H,,,
1699455842224534300,101580.6792173,15:04:02:224534,H,,,
1699455852242956000,101590.6975782,15:04:12:242956,H,,,
1699455862257754300,101600.7129367,15:04:22:257754,H,,,
1699455872268058400,101610.7235755,15:04:32:268058,H,,,
1699455882285669700,101620.7410034,15:04:42:285670,H,,,
1699455892297057600,101630.7517967,15:04:52:297058,H,,,
1699455902307476700,101640.7625985,15:05:02:307477,H,,,
1699455912322777800,101650.7774975,15:05:12:322778,H,,,
1699455922333008300,101660.7881158,15:05:22:333008,H,,,
1699455932344162600,101670.7987789,15:05:32:344162,H,,,
1699455942360541600,101680.8154538,15:05:42:360542,H,,,
1699455952370493500,101690.8258784,15:05:52:370493,H,,,
1699455962382676500,101700.8375712,15:06:02:382676,H,,,
1699455972394072400,101710.8488837,15:06:12:394072,H,,,
1699455979518409400,101717.9731408,15:06:19:518409,FAKE:1200,,,
1699455980530522700,101718.985981,15:06:20:530523,FAKE:1200,,,
1699455981543005200,101719.9982,15:06:21:543005,FAKE:1200,,,
1699455982406384400,101720.8609989,15:06:22:406384,H,,,
1699455982553842300,101721.0092042,15:06:22:553842,FAKE:1200,,,
1699455983569441200,101722.0241016,15:06:23:569441,FAKE:1200,,,
1699455984581057600,101723.0360666,15:06:24:581058,FAKE:1200,,,
1699455985594294300,101724.0489878,15:06:25:594294,FAKE:1200,,,
1699455986607400100,101725.0619794,15:06:26:607400,FAKE:1200,,,
