U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699447309885352600,93048.340358,12:41:49:885353,H,,,
1699447319895822900,93058.3507677,12:41:59:895823,H,,,
1699447329908705200,93068.3638693,12:42:09:908705,H,,,
1699447339920200000,93078.375292,12:42:19:920200,H,,,
1699447349931889800,93088.3864947,12:42:29:931890,H,,,
1699447359942312100,93098.3971023,12:42:39:942312,H,,,
1699447369953863400,93108.4084504,12:42:49:953863,H,,,
1699447379963721900,93118.419126,12:42:59:963722,H,,,
1699447389975573800,93128.4303201,12:43:09:975574,H,,,
1699447399987240400,93138.4419536,12:43:19:987241,H,,,
1699447410000318100,93148.4552092,12:43:30:000318,H,,,
1699447420011215300,93158.4658453,12:43:40:011215,H,,,
1699447430021963300,93168.4766612,12:43:50:021963,H,,,
1699447440035740900,93178.490682,12:44:00:035741,H,,,
1699447450047277700,93188.5019209,12:44:10:047278,H,,,
1699447460062654100,93198.5174038,12:44:20:062654,H,,,
1699447470073538000,93208.5281267,12:44:30:073538,H,,,
1699447480083704700,93218.5391637,12:44:40:083704,H,,,
1699447490095232100,93228.5499185,12:44:50:095232,H,,,
1699447500109991000,93238.5646406,12:45:00:109991,H,,,
1699447510120322900,93248.575547,12:45:10:120323,H,,,
1699447520131406600,93258.5864677,12:45:20:131407,H,,,
1699447530142681300,93268.597521,12:45:30:142681,H,,,
1699447540153931600,93278.6089214,12:45:40:153932,H,,,
1699447550164449300,93288.6192588,12:45:50:164449,H,,,
1699447560175554500,93298.630579,12:46:00:175555,H,,,
1699447570186169200,93308.6411922,12:46:10:186169,H,,,
1699447580198928100,93318.6535724,12:46:20:198928,H,,,
1699447590210165800,93328.664809,12:46:30:210166,H,,,
1699447600222727400,93338.6773421,12:46:40:222728,H,,,
1699447610234697300,93348.6896236,12:46:50:234697,H,,,
1699447620249014200,93358.7041007,12:47:00:249014,H,,,
1699447630264100300,93368.7195298,12:47:10:264100,H,,,
1699447640277596200,93378.7322763,12:47:20:277596,H,,,
1699447650288478400,93388.7431709,12:47:30:288478,H,,,
1699447660299553500,93398.7548251,12:47:40:299554,H,,,
1699447670311593200,93408.7662597,12:47:50:311593,H,,,
1699447680323137400,93418.7786222,12:48:00:323137,H,,,
