U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699443189481571400,88927.9367423,11:33:09:481571,H,,,
1699443199492247100,88937.9476564,11:33:19:492247,H,,,
1699443209507810300,88947.9624592,11:33:29:507810,H,,,
1699443219519562100,88957.9741859,11:33:39:519562,H,,,
1699443229530813600,88967.9854056,11:33:49:530814,H,,,
1699443239545253200,88978.0004427,11:33:59:545253,H,,,
1699443249561698700,88988.0164629,11:34:09:561699,H,,,
1699443259572808100,88998.0274362,11:34:19:572808,H,,,
1699443269584583600,89008.0392006,11:34:29:584584,H,,,
1699443279594992700,89018.049885,11:34:39:594993,H,,,
1699443289605937200,89028.0605381,11:34:49:605937,H,,,
1699443299617338400,89038.0722446,11:34:59:617338,H,,,
1699443309628197600,89048.0828281,11:35:09:628198,H,,,
1699443319639501200,89058.0946769,11:35:19:639501,H,,,
1699443329653236400,89068.1078436,11:35:29:653236,H,,,
1699443339663247000,89078.117883,11:35:39:663247,H,,,
1699443349674187000,89088.1288538,11:35:49:674187,H,,,
1699443359685946000,89098.1408798,11:35:59:685946,H,,,
1699443369697341200,89108.1520056,11:36:09:697341,H,,,
1699443379708176400,89118.162793,11:36:19:708176,H,,,
1699443389720560700,89128.175151,11:36:29:720561,H,,,
1699443399731786300,89138.1864101,11:36:39:731786,H,,,
1699443409743062200,89148.1979125,11:36:49:743062,H,,,
1699443419756602400,89158.2112217,11:36:59:756602,H,,,
1699443429766816700,89168.2216733,11:37:09:766817,H,,,
1699443439777694400,89178.2323045,11:37:19:777694,H,,,
1699443449789373800,89188.2443993,11:37:29:789374,H,,,
1699443459801348900,89198.2562084,11:37:39:801349,H,,,
1699443469812095900,89208.2673157,11:37:49:812096,H,,,
1699443479823960200,89218.2785699,11:37:59:823960,H,,,
1699443489835127400,89228.2897566,11:38:09:835127,H,,,
1699443499846432600,89238.3010724,11:38:19:846432,H,,,
1699443509856436900,89248.3119431,11:38:29:856437,H,,,
1699443519868504700,89258.3231616,11:38:39:868505,H,,,
1699443529879292600,89268.3339445,11:38:49:879293,H,,,
1699443539889631400,89278.3450931,11:38:59:889632,H,,,
1699443549901691800,89288.3563222,11:39:09:901692,H,,,
1699443559915115400,89298.3697521,11:39:19:915116,H,,,
1699443569926035100,89308.380834,11:39:29:926035,H,,,
1699443579936638400,89318.3913571,11:39:39:936638,H,,,
1699443589948552300,89328.4031926,11:39:49:948552,H,,,
1699443599959950900,89338.4147958,11:39:59:959951,H,,,
1699443609969664400,89348.4252471,11:40:09:969665,H,,,
1699443619981662900,89358.4362417,11:40:19:981663,H,,,
1699443629991740500,89368.4465623,11:40:29:991740,H,,,
1699443640001588400,89378.4563302,11:40:40:001589,H,,,
1699443650012419200,89388.4670807,11:40:50:012419,H,,,
1699443660025196500,89398.4801348,11:41:00:025197,H,,,
1699443670036626100,89408.4915215,11:41:10:036626,H,,,
1699443680049524900,89418.5041784,11:41:20:049525,H,,,
1699443690061477400,89428.5167587,11:41:30:061477,H,,,
1699443700074004500,89438.5288038,11:41:40:074004,H,,,
1699443710086803000,89448.5414613,11:41:50:086803,H,,,
1699443720098895000,89458.553792,11:42:00:098895,H,,,
1699443730109685400,89468.5646821,11:42:10:109685,H,,,
1699443740121437700,89478.5762245,11:42:20:121438,H,,,
1699443750132669900,89488.5877011,11:42:30:132670,H,,,
1699443760145819500,89498.600425,11:42:40:145819,H,,,
1699443770156765800,89508.612173,11:42:50:156766,H,,,
1699443780170271600,89518.625073,11:43:00:170271,H,,,
1699443790181872700,89528.6374389,11:43:10:181873,H,,,
1699443791538017400,89529.9935202,11:43:11:538017,FAKE:1200,,,
1699443792550385100,89531.0049838,11:43:12:550385,FAKE:1200,,,
1699443793560425100,89532.0159005,11:43:13:560425,FAKE:1200,,,
1699443794570367800,89533.0259004,11:43:14:570368,FAKE:1200,,,
1699443795580969400,89534.0359032,11:43:15:580970,FAKE:1200,,,
1699443796590473000,89535.045903,11:43:16:590473,FAKE:1200,,,
1699443797600478000,89536.0559014,11:43:17:600478,FAKE:1200,,,
1699443798611370500,89537.0659816,11:43:18:611371,FAKE:1200,,,
1699443799623529000,89538.0789018,11:43:19:623529,FAKE:1200,,,
1699443800198539400,89538.6532113,11:43:20:198539,H,,,
1699443800634527500,89539.0899019,11:43:20:634527,FAKE:1200,,,
1699443801644520400,89540.0999408,11:43:21:644521,FAKE:1200,,,
1699443802654786800,89541.1099038,11:43:22:654787,FAKE:1200,,,
1699443803664552200,89542.1199667,11:43:23:664552,FAKE:1200,,,
1699443804675386100,89543.1299704,11:43:24:675386,FAKE:1200,,,
1699443805685701300,89544.1409688,11:43:25:685701,FAKE:1200,,,
1699443806696937700,89545.1519006,11:43:26:696938,FAKE:1200,,,
1699443807706485600,89546.1619041,11:43:27:706486,FAKE:1200,,,
1699443808716409900,89547.1719012,11:43:28:716410,FAKE:1200,,,
1699443809726856600,89548.1819033,11:43:29:726857,FAKE:1200,,,
1699443810208739100,89548.663815,11:43:30:208739,H,,,
1699443810736789500,89549.1919023,11:43:30:736789,FAKE:1200,,,
1699443811747195300,89550.2019002,11:43:31:747195,FAKE:1200,,,
1699443812756639400,89551.2119674,11:43:32:756639,FAKE:1200,,,
1699443813766807300,89552.2218995,11:43:33:766807,FAKE:1200,,,
1699443814776407900,89553.2319015,11:43:34:776408,FAKE:1200,,,
1699443815787780700,89554.2429662,11:43:35:787781,FAKE:1200,,,
1699443816799432400,89555.2540127,11:43:36:799433,FAKE:1200,,,
1699443817808947900,89556.2639,11:43:37:808948,FAKE:1200,,,
1699443818819385600,89557.2739749,11:43:38:819386,FAKE:1200,,,
1699443819830383600,89558.2849684,11:43:39:830384,FAKE:1200,,,
1699443820221105700,89558.676273,11:43:40:221106,H,,,
1699443820840982600,89559.2959005,11:43:40:840982,FAKE:1200,,,
1699443830233607900,89568.6888822,11:43:50:233608,H,,,
1699443840246827700,89578.7015265,11:44:00:246828,H,,,
1699443850262168500,89588.7170661,11:44:10:262169,H,,,
1699443860273906000,89598.7285651,11:44:20:273906,H,,,
1699443861851865700,89600.3068915,11:44:21:851866,FAKE:1200,,,
1699443862861502900,89601.3169037,11:44:22:861503,FAKE:1200,,,
1699443863871674400,89602.3269056,11:44:23:871674,FAKE:1200,,,
1699443864883387200,89603.3379723,11:44:24:883387,FAKE:1200,,,
1699443865893544500,89604.3489687,11:44:25:893544,FAKE:1200,,,
1699443866903418200,89605.3589006,11:44:26:903418,FAKE:1200,,,
1699443867913847500,89606.3689005,11:44:27:913847,FAKE:1200,,,
1699443868924869900,89607.3799157,11:44:28:924870,FAKE:1200,,,
1699443869937688400,89608.3929034,11:44:29:937688,FAKE:1200,,,
1699443870286589900,89608.7415618,11:44:30:286590,H,,,
1699443870948591700,89609.4039001,11:44:30:948592,FAKE:1200,,,
1699443871959471600,89610.4149032,11:44:31:959472,FAKE:1200,,,
1699443872970537800,89611.4259015,11:44:32:970538,FAKE:1200,,,
1699443873981844400,89612.4369016,11:44:33:981844,FAKE:1200,,,
1699443874991723200,89613.4469016,11:44:34:991723,FAKE:1200,,,
1699443876002489600,89614.4579022,11:44:36:002490,FAKE:1200,,,
1699443877013992300,89615.4689035,11:44:37:013992,FAKE:1200,,,
1699443878024476100,89616.4799014,11:44:38:024476,FAKE:1200,,,
1699443879036121200,89617.4909034,11:44:39:036121,FAKE:1200,,,
1699443880047001000,89618.5019034,11:44:40:047001,FAKE:1200,,,
1699443880297691300,89618.7529604,11:44:40:297691,H,,,
1699443881058327500,89619.512918,11:44:41:058327,FAKE:1200,,,
1699443882070384900,89620.5249703,11:44:42:070385,FAKE:1200,,,
1699443883080668900,89621.535902,11:44:43:080669,FAKE:1200,,,
1699443884091526400,89622.546904,11:44:44:091527,FAKE:1200,,,
1699443885102222600,89623.5569038,11:44:45:102223,FAKE:1200,,,
1699443886112444600,89624.5679042,11:44:46:112445,FAKE:1200,,,
1699443887123337900,89625.5779039,11:44:47:123338,FAKE:1200,,,
1699443888133694100,89626.5889926,11:44:48:133694,FAKE:1200,,,
1699443889144971900,89627.5999124,11:44:49:144972,FAKE:1200,,,
1699443890155965500,89628.6109211,11:44:50:155965,FAKE:1200,,,
1699443890309139900,89628.763919,11:44:50:309140,H,,,
1699443891169736600,89629.6249041,11:44:51:169737,FAKE:1200,,,
1699443892181390300,89630.6359798,11:44:52:181390,FAKE:1200,,,
1699443893191858900,89631.6469011,11:44:53:191859,FAKE:1200,,,
1699443894201453300,89632.6569005,11:44:54:201453,FAKE:1200,,,
1699443895212717400,89633.6679017,11:44:55:212717,FAKE:1200,,,
1699443896223598700,89634.6789024,11:44:56:223598,FAKE:1200,,,
1699443897234353700,89635.6899024,11:44:57:234354,FAKE:1200,,,
1699443898246120000,89636.7009187,11:44:58:246120,FAKE:1200,,,
1699443899258483500,89637.7139027,11:44:59:258483,FAKE:1200,,,
1699443900269601700,89638.7249039,11:45:00:269602,FAKE:1200,,,
1699443900320273700,89638.7753424,11:45:00:320274,H,,,
1699443901280690600,89639.7359528,11:45:01:280691,FAKE:1200,,,
1699443902297625900,89640.752901,11:45:02:297626,FAKE:1200,,,
1699443903307491000,89641.7629013,11:45:03:307491,FAKE:1200,,,
1699443904319388500,89642.7739732,11:45:04:319388,FAKE:1200,,,
1699443905329516700,89643.7849035,11:45:05:329517,FAKE:1200,,,
1699443906340959000,89644.7959715,11:45:06:340959,FAKE:1200,,,
1699443907351949400,89645.806916,11:45:07:351949,FAKE:1200,,,
1699443908369255800,89646.8239158,11:45:08:369256,FAKE:1200,,,
1699443909383039200,89647.8379012,11:45:09:383039,FAKE:1200,,,
1699443910330973500,89648.7859256,11:45:10:330973,H,,,
1699443910393313800,89648.8479768,11:45:10:393314,FAKE:1200,,,
1699443911403647100,89649.8589012,11:45:11:403647,FAKE:1200,,,
1699443912415029000,89650.869904,11:45:12:415029,FAKE:1200,,,
1699443913424898400,89651.879903,11:45:13:424898,FAKE:1200,,,
1699443914436387000,89652.8909782,11:45:14:436387,FAKE:1200,,,
1699443915448043000,89653.9029111,11:45:15:448043,FAKE:1200,,,
1699443916458442400,89654.9139029,11:45:16:458442,FAKE:1200,,,
1699443917469998400,89655.9249026,11:45:17:469998,FAKE:1200,,,
1699443918487016500,89656.9419022,11:45:18:487016,FAKE:1200,,,
1699443919497627500,89657.9529355,11:45:19:497627,FAKE:1200,,,
1699443920342949300,89658.7976057,11:45:20:342949,H,,,
1699443920514110100,89658.9691697,11:45:20:514110,FAKE:1200,,,
1699443921524820800,89659.9799688,11:45:21:524821,FAKE:1200,,,
1699443930355906400,89668.8108244,11:45:30:355906,H,,,
1699443940368209800,89678.8233953,11:45:40:368210,H,,,
1699443950381118900,89688.8358342,11:45:50:381119,H,,,
1699443952535401500,89690.9908978,11:45:52:535402,FAKE:1200,,,
1699443953549473300,89692.0049283,11:45:53:549473,FAKE:1200,,,
1699443954562462300,89693.017899,11:45:54:562462,FAKE:1200,,,
1699443955573383800,89694.027964,11:45:55:573384,FAKE:1200,,,
1699443956583454100,89695.0388991,11:45:56:583454,FAKE:1200,,,
1699443957595044100,89696.0498973,11:45:57:595044,FAKE:1200,,,
1699443958610425400,89697.0658997,11:45:58:610425,FAKE:1200,,,
1699443959621635900,89698.0768962,11:45:59:621636,FAKE:1200,,,
1699443960392682800,89698.8476387,11:46:00:392683,H,,,
1699443960632975100,89699.0882287,11:46:00:632975,FAKE:1200,,,
1699443961645537000,89700.1008995,11:46:01:645537,FAKE:1200,,,
1699443962656979900,89701.1118983,11:46:02:656980,FAKE:1200,,,
1699443963667693700,89702.1229621,11:46:03:667694,FAKE:1200,,,
1699443964678540400,89703.1338963,11:46:04:678540,FAKE:1200,,,
1699443965690385500,89704.1449673,11:46:05:690385,FAKE:1200,,,
1699443966699412500,89705.1548975,11:46:06:699413,FAKE:1200,,,
1699443967710399800,89706.1659011,11:46:07:710400,FAKE:1200,,,
1699443968722073200,89707.1769637,11:46:08:722073,FAKE:1200,,,
1699443969736917000,89708.1918995,11:46:09:736917,FAKE:1200,,,
1699443970403183900,89708.8584107,11:46:10:403184,H,,,
1699443970748143400,89709.2031351,11:46:10:748143,FAKE:1200,,,
1699443971759272100,89710.2139077,11:46:11:759272,FAKE:1200,,,
1699443972770381400,89711.2249625,11:46:12:770381,FAKE:1200,,,
1699443973781389600,89712.2359632,11:46:13:781389,FAKE:1200,,,
1699443974791652300,89713.2468974,11:46:14:791652,FAKE:1200,,,
1699443975802436200,89714.2579257,11:46:15:802436,FAKE:1200,,,
1699443976814757100,89715.2699179,11:46:16:814757,FAKE:1200,,,
1699443977826146600,89716.2809108,11:46:17:826147,FAKE:1200,,,
1699443978837578200,89717.2929638,11:46:18:837578,FAKE:1200,,,
1699443979848760500,89718.3039645,11:46:19:848761,FAKE:1200,,,
1699443980417374700,89718.8719919,11:46:20:417375,H,,,
1699443980859863400,89719.3149018,11:46:20:859863,FAKE:1200,,,
1699443981870414300,89720.325897,11:46:21:870414,FAKE:1200,,,
1699443982881670300,89721.3369402,11:46:22:881670,FAKE:1200,,,
1699443983892624500,89722.3478995,11:46:23:892624,FAKE:1200,,,
1699443984904016800,89723.3588992,11:46:24:904017,FAKE:1200,,,
1699443985914741700,89724.369917,11:46:25:914742,FAKE:1200,,,
1699443986926714700,89725.3819239,11:46:26:926715,FAKE:1200,,,
1699443987938673700,89726.3939454,11:46:27:938674,FAKE:1200,,,
1699443988949383700,89727.4039658,11:46:28:949384,FAKE:1200,,,
1699443989958649400,89728.413968,11:46:29:958649,FAKE:1200,,,
1699443990428869800,89728.8834967,11:46:30:428870,H,,,
1699443990970335400,89729.4248958,11:46:30:970335,FAKE:1200,,,
1699443991987722800,89730.4429647,11:46:31:987723,FAKE:1200,,,
1699443992998973000,89731.4538988,11:46:32:998973,FAKE:1200,,,
1699443994009717600,89732.4649035,11:46:34:009717,FAKE:1200,,,
1699443995021015300,89733.4759078,11:46:35:021015,FAKE:1200,,,
1699443996032202800,89734.4869327,11:46:36:032203,FAKE:1200,,,
1699443997042059100,89735.4969313,11:46:37:042059,FAKE:1200,,,
1699443998056200400,89736.5109185,11:46:38:056201,FAKE:1200,,,
1699443999071007300,89737.5258989,11:46:39:071007,FAKE:1200,,,
1699444000081592100,89738.5369135,11:46:40:081592,FAKE:1200,,,
1699444000439122700,89738.893952,11:46:40:439123,H,,,
1699444001092672400,89739.5478989,11:46:41:092673,FAKE:1200,,,
1699444002104130200,89740.5588969,11:46:42:104130,FAKE:1200,,,
1699444003114793600,89741.569967,11:46:43:114794,FAKE:1200,,,
1699444004125407100,89742.5809051,11:46:44:125407,FAKE:1200,,,
1699444005138381400,89743.5929628,11:46:45:138381,FAKE:1200,,,
1699444006149389200,89744.6039702,11:46:46:149389,FAKE:1200,,,
1699444007160058500,89745.6149644,11:46:47:160059,FAKE:1200,,,
1699444008170730900,89746.6259015,11:46:48:170731,FAKE:1200,,,
1699444009187177900,89747.6418981,11:46:49:187178,FAKE:1200,,,
1699444010198389900,89748.6529706,11:46:50:198390,FAKE:1200,,,
1699444010450087000,89748.905553,11:46:50:450087,H,,,
1699444011209411400,89749.6639705,11:46:51:209411,FAKE:1200,,,
1699444012220065500,89750.6749136,11:46:52:220066,FAKE:1200,,,
1699444013233405800,89751.6888973,11:46:53:233406,FAKE:1200,,,
1699444014245250100,89752.6999819,11:46:54:245250,FAKE:1200,,,
1699444015256584400,89753.7118995,11:46:55:256584,FAKE:1200,,,
1699444016268035300,89754.7228969,11:46:56:268035,FAKE:1200,,,
1699444017278410700,89755.7339013,11:46:57:278411,FAKE:1200,,,
1699444018289790800,89756.7448975,11:46:58:289791,FAKE:1200,,,
1699444019300384500,89757.7549655,11:46:59:300385,FAKE:1200,,,
1699444020311054700,89758.765899,11:47:00:311055,FAKE:1200,,,
1699444020463783800,89758.9190853,11:47:00:463784,H,,,
1699444021322072700,89759.7768976,11:47:01:322073,FAKE:1200,,,
1699444022332158700,89760.7868977,11:47:02:332159,FAKE:1200,,,
1699444023342537300,89761.7978986,11:47:03:342537,FAKE:1200,,,
1699444024353612700,89762.8089649,11:47:04:353613,FAKE:1200,,,
1699444025365383500,89763.8199654,11:47:05:365383,FAKE:1200,,,
1699444026375685400,89764.8309021,11:47:06:375685,FAKE:1200,,,
1699444027387169500,89765.8418968,11:47:07:387170,FAKE:1200,,,
1699444028397480400,89766.8528982,11:47:08:397480,FAKE:1200,,,
1699444029407542500,89767.8628988,11:47:09:407542,FAKE:1200,,,
1699444030418099900,89768.8728976,11:47:10:418100,FAKE:1200,,,
1699444030474383400,89768.9293989,11:47:10:474383,H,,,
1699444031428216300,89769.88299,11:47:11:428216,FAKE:1200,,,
1699444032439138100,89770.8938979,11:47:12:439138,FAKE:1200,,,
1699444033449512400,89771.9048988,11:47:13:449512,FAKE:1200,,,
1699444034461010600,89772.9159057,11:47:14:461011,FAKE:1200,,,
1699444035472071100,89773.9268986,11:47:15:472071,FAKE:1200,,,
1699444036483117800,89774.9378995,11:47:16:483118,FAKE:1200,,,
1699444037493374200,89775.9480234,11:47:17:493374,FAKE:1200,,,
1699444038503525600,89776.9589639,11:47:18:503526,FAKE:1200,,,
1699444039514781700,89777.9698965,11:47:19:514782,FAKE:1200,,,
1699444040484530300,89778.9396076,11:47:20:484530,H,,,
1699444040526384300,89778.9809666,11:47:20:526384,FAKE:1200,,,
1699444041536416800,89779.991899,11:47:21:536417,FAKE:1200,,,
1699444042547692000,89781.0029109,11:47:22:547692,FAKE:1200,,,
1699444043560052700,89782.0148964,11:47:23:560053,FAKE:1200,,,
