U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699382824836789300,28561.6945642,18:47:04:836789,FAKE:1200,0,Fake P300,
1699382825681801600,28562.5396831,18:47:05:681802,H,0,Fake P300,
1699382825849625400,28562.7076183,18:47:05:849625,FAKE:1200,0,Fake P300,
1699382826860234000,28563.7186004,18:47:06:860234,FAKE:1200,0,Fake P300,
1699382827871673400,28564.7296368,18:47:07:871673,FAKE:1200,0,Fake P300,
1699382828881899200,28565.7397441,18:47:08:881899,FAKE:1200,0,Fake P300,
1699382829891781300,28566.7505616,18:47:09:891781,FAKE:1200,0,Fake P300,
1699382830902795000,28567.7615231,18:47:10:902795,FAKE:1200,0,Fake P300,
1699382831913956100,28568.7725198,18:47:11:913956,FAKE:1200,0,Fake P300,
1699382832924731900,28569.783522,18:47:12:924732,FAKE:1200,0,Fake P300,
1699382833936482200,28570.7949246,18:47:13:936482,FAKE:1200,0,Fake P300,
1699382834953633100,28571.8115167,18:47:14:953633,FAKE:1200,0,Fake P300,
1699382835693962700,28572.5523632,18:47:15:693963,H,0,Fake P300,
1699382835964751600,28572.8228652,18:47:15:964752,FAKE:1200,0,Fake P300,
1699382836974644300,28573.8325941,18:47:16:974644,FAKE:1200,0,Fake P300,
1699382837984790700,28574.8435156,18:47:17:984791,FAKE:1200,0,Fake P300,
1699382838996503500,28575.8549136,18:47:18:996504,FAKE:1200,0,Fake P300,
1699382840010241800,28576.868545,18:47:20:010242,FAKE:1200,0,Fake P300,
1699382841022792900,28577.8815173,18:47:21:022793,FAKE:1200,0,Fake P300,
1699382842034789900,28578.8935193,18:47:22:034790,FAKE:1200,0,Fake P300,
1699382843046968800,28579.9057217,18:47:23:046969,FAKE:1200,0,Fake P300,
1699382844057757200,28580.9157852,18:47:24:057757,FAKE:1200,0,Fake P300,
1699382845067797900,28581.9265889,18:47:25:067798,FAKE:1200,0,Fake P300,
1699382845711318300,28582.5692117,18:47:25:711318,H,0,Fake P300,
1699382846080239600,28582.9386024,18:47:26:080240,FAKE:1200,0,Fake P300,
1699382855721353500,28592.5793361,18:47:35:721354,H,0,Fake P300,
1699382865742412200,28602.6002554,18:47:45:742412,H,0,Fake P300,
1699382875752935800,28612.6108722,18:47:55:752936,H,0,Fake P300,
1699382882280378300,28619.1381995,18:48:02:280378,VECTOR 0 STOPPED,,,
1699382882815842900,28619.6737764,18:48:02:815843,VECTOR_1 STARTED,1,Index of Time and Change que 2:10,
1699382885769445400,28622.6281992,18:48:05:769445,H,1,Index of Time and Change que 2:10,
1699382886840486600,28623.6983153,18:48:06:840487,P300:1000,1,Index of Time and Change que 2:10,
1699382887850655100,28624.7085176,18:48:07:850655,P300:1200,1,Index of Time and Change que 2:10,
1699382895780463300,28632.6383805,18:48:15:780463,H,1,Index of Time and Change que 2:10,
1699382902396860500,28639.2551742,18:48:22:396860,P300:1000,1,Index of Time and Change que 2:10,
1699382903407647800,28640.2655556,18:48:23:407648,P300:1200,1,Index of Time and Change que 2:10,
1699382904417794600,28641.276537,18:48:24:417794,P300:1200,1,Index of Time and Change que 2:10,
1699382905433081500,28642.2916468,18:48:25:433082,P300:1200,1,Index of Time and Change que 2:10,
1699382905791705300,28642.6496068,18:48:25:791705,H,1,Index of Time and Change que 2:10,
1699382906444606600,28643.3026641,18:48:26:444607,P300:1000,1,Index of Time and Change que 2:10,
1699382907455224600,28644.3137222,18:48:27:455225,P300:1200,1,Index of Time and Change que 2:10,
1699382908466169600,28645.3245611,18:48:28:466170,P300:1000,1,Index of Time and Change que 2:10,
1699382909476832500,28646.3355935,18:48:29:476833,P300:1200,1,Index of Time and Change que 2:10,
1699382910487859500,28647.3465882,18:48:30:487859,P300:1200,1,Index of Time and Change que 2:10,
1699382911499610000,28648.3578409,18:48:31:499610,P300:1000,1,Index of Time and Change que 2:10,
1699382912510176300,28649.3685127,18:48:32:510176,P300:1200,1,Index of Time and Change que 2:10,
1699382913521569600,28650.3795844,18:48:33:521569,P300:1000,1,Index of Time and Change que 2:10,
1699382914532546000,28651.3906695,18:48:34:532546,P300:1200,1,Index of Time and Change que 2:10,
1699382915543266300,28652.4016593,18:48:35:543266,P300:1200,1,Index of Time and Change que 2:10,
1699382915802051400,28652.6599108,18:48:35:802051,H,1,Index of Time and Change que 2:10,
1699382916554238400,28653.4125633,18:48:36:554239,P300:1200,1,Index of Time and Change que 2:10,
1699382917576760000,28654.4355171,18:48:37:576760,P300:1200,1,Index of Time and Change que 2:10,
1699382918589378900,28655.4475146,18:48:38:589379,P300:1200,1,Index of Time and Change que 2:10,
1699382919600673300,28656.458731,18:48:39:600673,P300:1200,1,Index of Time and Change que 2:10,
1699382920612673600,28657.470559,18:48:40:612674,P300:1200,1,Index of Time and Change que 2:10,
1699382921621904900,28658.4805131,18:48:41:621905,P300:1000,1,Index of Time and Change que 2:10,
1699382922632773100,28659.4915624,18:48:42:632773,P300:1200,1,Index of Time and Change que 2:10,
1699382923644746300,28660.5026102,18:48:43:644746,P300:1000,1,Index of Time and Change que 2:10,
1699382924655629600,28661.5137691,18:48:44:655630,P300:1200,1,Index of Time and Change que 2:10,
1699382925669718300,28662.5285151,18:48:45:669718,P300:1000,1,Index of Time and Change que 2:10,
1699382925812111600,28662.6700507,18:48:45:812112,H,1,Index of Time and Change que 2:10,
1699382926683772900,28663.5417409,18:48:46:683773,P300:1200,1,Index of Time and Change que 2:10,
1699382927694757000,28664.5528725,18:48:47:694757,P300:1000,1,Index of Time and Change que 2:10,
1699382928705320800,28665.5636154,18:48:48:705321,P300:1000,1,Index of Time and Change que 2:10,
1699382929716706400,28666.5746314,18:48:49:716706,P300:1200,1,Index of Time and Change que 2:10,
1699382930727002600,28667.5855695,18:48:50:727003,P300:1000,1,Index of Time and Change que 2:10,
1699382931738711600,28668.5966027,18:48:51:738712,P300:1200,1,Index of Time and Change que 2:10,
1699382932749654400,28669.6075147,18:48:52:749655,P300:1200,1,Index of Time and Change que 2:10,
1699382933758834200,28670.6175722,18:48:53:758834,P300:1200,1,Index of Time and Change que 2:10,
1699382934769802900,28671.6285152,18:48:54:769803,P300:1200,1,Index of Time and Change que 2:10,
1699382935780674000,28672.6385432,18:48:55:780674,P300:1200,1,Index of Time and Change que 2:10,
1699382935823267400,28672.6812412,18:48:55:823267,H,1,Index of Time and Change que 2:10,
1699382936796382600,28673.6545663,18:48:56:796383,P300:1200,1,Index of Time and Change que 2:10,
1699382937807665600,28674.6655954,18:48:57:807666,P300:1200,1,Index of Time and Change que 2:10,
1699382938818214800,28675.6766944,18:48:58:818215,P300:1200,1,Index of Time and Change que 2:10,
1699382939830229800,28676.6880552,18:48:59:830230,P300:1200,1,Index of Time and Change que 2:10,
1699382940843665100,28677.7014416,18:49:00:843665,P300:1000,1,Index of Time and Change que 2:10,
1699382941859509100,28678.7175191,18:49:01:859509,P300:1200,1,Index of Time and Change que 2:10,
1699382942870493200,28679.728663,18:49:02:870493,P300:1200,1,Index of Time and Change que 2:10,
1699382943882176500,28680.7406419,18:49:03:882176,P300:1200,1,Index of Time and Change que 2:10,
1699382944896988000,28681.754812,18:49:04:896988,P300:1000,1,Index of Time and Change que 2:10,
1699382945838787900,28682.6968199,18:49:05:838788,H,1,Index of Time and Change que 2:10,
1699382945910156700,28682.7681718,18:49:05:910157,P300:1200,1,Index of Time and Change que 2:10,
1699382946929603900,28683.7876326,18:49:06:929604,P300:1200,1,Index of Time and Change que 2:10,
1699382947940114400,28684.7985634,18:49:07:940114,P300:1000,1,Index of Time and Change que 2:10,
1699382948951617800,28685.8095687,18:49:08:951618,P300:1200,1,Index of Time and Change que 2:10,
1699382949961760500,28686.82055,18:49:09:961761,P300:1000,1,Index of Time and Change que 2:10,
1699382950973676100,28687.8317793,18:49:10:973676,P300:1200,1,Index of Time and Change que 2:10,
1699382951993165600,28688.8510501,18:49:11:993165,P300:1200,1,Index of Time and Change que 2:10,
