U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699367075748529300,12812.6067169,14:24:35:748529,H,,,
1699367085762750100,12822.6207357,14:24:45:762750,H,,,
1699367095775201400,12832.6333616,14:24:55:775201,H,,,
1699367105792457100,12842.6506424,14:25:05:792457,H,,,
1699367115803492200,12852.6619796,14:25:15:803492,H,,,
1699367125820400400,12862.6790069,14:25:25:820400,H,,,
1699367135837261200,12872.695514,14:25:35:837261,H,,,
1699367145853570200,12882.7118804,14:25:45:853570,H,,,
1699367155869402900,12892.7281796,14:25:55:869403,H,,,
1699367165886326700,12902.7442924,14:26:05:886327,H,,,
1699367175902543200,12912.7605945,14:26:15:902543,H,,,
1699367185913551000,12922.7720403,14:26:25:913551,H,,,
1699367195930684400,12932.7885252,14:26:35:930684,H,,,
1699367205946920700,12942.8051305,14:26:45:946921,H,,,
1699367215962572000,12952.8211776,14:26:55:962572,H,,,
1699367225979696100,12962.8376599,14:27:05:979696,H,,,
1699367235995816600,12972.8540319,14:27:15:995817,H,,,
1699367246012716000,12982.8706278,14:27:26:012716,H,,,
1699367256029176000,12992.8870874,14:27:36:029176,H,,,
1699367266044728400,13002.9034465,14:27:46:044728,H,,,
1699367276061424300,13012.9201242,14:27:56:061424,H,,,
1699367286078052700,13022.9365912,14:28:06:078053,H,,,
1699367296089450900,13032.9474921,14:28:16:089451,H,,,
1699367306105998100,13042.963866,14:28:26:105998,H,,,
1699367316122731700,13052.980646600001,14:28:36:122732,H,,,
1699367326139862600,13062.9978212,14:28:46:139863,H,,,
1699367336155827700,13073.0143283,14:28:56:155828,H,,,
1699367346172716900,13083.0306335,14:29:06:172717,H,,,
1699367356189358600,13093.0472846,14:29:16:189358,H,,,
1699367366199356800,13103.0578868,14:29:26:199357,H,,,
1699367376211441200,13113.0696686,14:29:36:211441,H,,,
1699367386227089600,13123.0856164,14:29:46:227090,H,,,
1699367396243878100,13133.102094,14:29:56:243878,H,,,
1699367406260395100,13143.1183289,14:30:06:260395,H,,,
1699367416271194500,13153.129104,14:30:16:271195,H,,,
1699367426287470000,13163.1456214,14:30:26:287470,H,,,
1699367436298307400,13173.1562098,14:30:36:298307,H,,,
1699367446313336800,13183.1713311,14:30:46:313337,H,,,
1699367456329518500,13193.1876492,14:30:56:329519,H,,,
1699367466345032800,13203.2037693,14:31:06:345033,H,,,
1699367476361878700,13213.2205597,14:31:16:361879,H,,,
1699367486378656100,13223.2366949,14:31:26:378656,H,,,
1699367496393831700,13233.2517419,14:31:36:393832,H,,,
1699367506410486700,13243.268388,14:31:46:410487,H,,,
1699367516426202900,13253.2848293,14:31:56:426203,H,,,
1699367526443191100,13263.3014133,14:32:06:443191,H,,,
1699367536455113700,13273.3129899,14:32:16:455114,H,,,
