U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699375114364652900,20851.223017,16:38:34:364653,H,,,
1699375124374839200,20861.2326438,16:38:44:374839,H,,,
1699375134395711300,20871.253662,16:38:54:395711,H,,,
1699375144407664700,20881.2660728,16:39:04:407665,H,,,
1699375154425997500,20891.2838175,16:39:14:425997,H,,,
1699375164437348400,20901.2955559,16:39:24:437348,H,,,
1699375174448927900,20911.3070507,16:39:34:448928,H,,,
1699375184460170200,20921.3183268,16:39:44:460170,H,,,
1699375194471577800,20931.3302972,16:39:54:471578,H,,,
1699375204484706900,20941.3427784,16:40:04:484707,H,,,
1699375214503817300,20951.3616704,16:40:14:503817,H,,,
1699375224514840300,20961.3733416,16:40:24:514840,H,,,
1699375234526356300,20971.3841911,16:40:34:526356,H,,,
1699375244539835400,20981.3985645,16:40:44:539835,H,,,
1699375254563797300,20991.4217526,16:40:54:563797,H,,,
1699375264582549400,21001.4408098,16:41:04:582550,H,,,
1699375274603196700,21011.4611525,16:41:14:603197,H,,,
1699375284621317600,21021.4798048,16:41:24:621318,H,,,
1699375294637290800,21031.4951627,16:41:34:637291,H,,,
1699375304655267800,21041.51318,16:41:44:655268,H,,,
1699375314675010300,21051.5333375,16:41:54:675010,H,,,
1699375324696020800,21061.5538554,16:42:04:696021,H,,,
1699375334716011700,21071.5739211,16:42:14:716012,H,,,
1699375344735931100,21081.5938401,16:42:24:735931,H,,,
1699375354754937000,21091.6130467,16:42:34:754937,H,,,
1699375364776108400,21101.6343364,16:42:44:776108,H,,,
1699375374796501500,21111.6544102,16:42:54:796501,H,,,
1699375384810987200,21121.6692363,16:43:04:810987,H,,,
1699375394831200300,21131.6898603,16:43:14:831200,H,,,
1699375404852930800,21141.7117209,16:43:24:852931,H,,,
1699375414875413700,21151.7340545,16:43:34:875414,H,,,
1699375424894683600,21161.7528272,16:43:44:894684,H,,,
1699375434919522800,21171.7782932,16:43:54:919523,H,,,
1699375444942811800,21181.8009761,16:44:04:942812,H,,,
1699375454966118600,21191.8243324,16:44:14:966119,H,,,
1699375464977443900,21201.8355257,16:44:24:977444,H,,,
1699375474998250900,21211.8565772,16:44:34:998251,H,,,
1699375485014167600,21221.8720793,16:44:45:014168,H,,,
1699375495034087200,21231.8922782,16:44:55:034087,H,,,
1699375505053322900,21241.9112569,16:45:05:053323,H,,,
1699375515072915800,21251.9307902,16:45:15:072916,H,,,
1699375525094105200,21261.9520701,16:45:25:094105,H,,,
1699375535112808200,21271.9712336,16:45:35:112808,H,,,
1699375545134306600,21281.9922159,16:45:45:134307,H,,,
1699375555149559800,21292.0077035,16:45:55:149560,H,,,
1699375565170107900,21302.0279104,16:46:05:170108,H,,,
1699375575189338000,21312.0480773,16:46:15:189338,H,,,
1699375585209377400,21322.0677817,16:46:25:209377,H,,,
1699375595229353800,21332.08723,16:46:35:229354,H,,,
1699375605241331700,21342.099175,16:46:45:241332,H,,,
1699375615252310700,21352.1103857,16:46:55:252311,H,,,
1699375625270470600,21362.1283828,16:47:05:270471,H,,,
1699375635282296000,21372.1401036,16:47:15:282296,H,,,
1699375645294440500,21382.1525708,16:47:25:294441,H,,,
1699375655316641600,21392.1745514,16:47:35:316642,H,,,
1699375665335488300,21402.1934423,16:47:45:335488,H,,,
1699375675352296900,21412.2101982,16:47:55:352297,H,,,
1699375685364286400,21422.222755,16:48:05:364286,H,,,
1699375695379880500,21432.2378146,16:48:15:379880,H,,,
1699375705400236900,21442.2590602,16:48:25:400237,H,,,
1699375715420638100,21452.2790277,16:48:35:420638,H,,,
1699375724704049600,21461.5627587,16:48:44:704050,TRANS:1600,4,Spectrum of Sounding,[]
1699375725436243600,21462.2941255,16:48:45:436244,H,4,Spectrum of Sounding,[]
1699375725916487700,21462.7747417,16:48:45:916488,TRANS:1600,4,Spectrum of Sounding,[]
1699375727143075800,21464.0017156,16:48:47:143076,TRANS:1600,4,Spectrum of Sounding,[]
1699375728355712400,21465.2137428,16:48:48:355712,TRANS:1600,4,Spectrum of Sounding,[]
1699375729567890000,21466.4257159,16:48:49:567890,TRANS:900,4,Spectrum of Sounding,[]
1699375730578433200,21467.4370698,16:48:50:578433,VECTOR_4 STARTED,4,Spectrum of Sounding,[]
1699375735452559300,21472.3107597,16:48:55:452559,H,4,Spectrum of Sounding,[]
1699375745472864000,21482.3310629,16:49:05:472864,H,4,Spectrum of Sounding,[]
1699375755485103100,21492.3429825,16:49:15:485103,H,4,Spectrum of Sounding,[]
1699375765496845300,21502.3547637,16:49:25:496845,H,4,Spectrum of Sounding,[]
1699375775515451600,21512.3733698,16:49:35:515452,H,4,Spectrum of Sounding,[]
1699375779423555100,21516.2817687,16:49:39:423555,VECTOR 4 STOPPED,,,
1699375779423555100,21516.2816342,16:49:39:423555,TRANS:1600,,,
1699375780635678500,21517.4937364,16:49:40:635679,TRANS:1600,,,
1699375781846960300,21518.7057173,16:49:41:846960,TRANS:1600,,,
1699375783057931600,21519.9167174,16:49:43:057931,TRANS:1600,,,
1699375784268987000,21521.1277182,16:49:44:268987,TRANS:900,,,
1699375785529225500,21522.3875851,16:49:45:529226,H,,,
1699375795550617300,21532.4086032,16:49:55:550617,H,,,
1699375805561736500,21542.4195496,16:50:05:561736,H,,,
1699375815581137600,21552.4390648,16:50:15:581138,H,,,
1699375825617949600,21562.4759898,16:50:25:617950,H,,,
1699375827646868400,21564.5056703,16:50:27:646868,TRANS:1600,7,Relational Compound [EEG sonification condition A - Abdominal Tango],Ben Matthias
1699375828859287700,21565.7177368,16:50:28:859288,TRANS:1600,7,Relational Compound [EEG sonification condition A - Abdominal Tango],Ben Matthias
1699375830096914900,21566.9547485,16:50:30:096915,TRANS:1600,7,Relational Compound [EEG sonification condition A - Abdominal Tango],Ben Matthias
1699375831313899300,21568.1717289,16:50:31:313899,TRANS:1600,7,Relational Compound [EEG sonification condition A - Abdominal Tango],Ben Matthias
1699375832527819200,21569.3857445,16:50:32:527819,TRANS:900,7,Relational Compound [EEG sonification condition A - Abdominal Tango],Ben Matthias
1699375833540550100,21570.3984978,16:50:33:540550,VECTOR_7 STARTED,7,Relational Compound [EEG sonification condition A - Abdominal Tango],Ben Matthias
1699375835639052300,21572.4968876,16:50:35:639052,H,7,Relational Compound [EEG sonification condition A - Abdominal Tango],Ben Matthias
1699375845660379800,21582.5182782,16:50:45:660380,H,7,Relational Compound [EEG sonification condition A - Abdominal Tango],Ben Matthias
