U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699372027213902500,17764.0725594,15:47:07:213902,H,,,
1699372037224359000,17774.0823155,15:47:17:224359,H,,,
1699372047240511600,17784.0990169,15:47:27:240511,H,,,
1699372057256788100,17794.1155247,15:47:37:256788,H,,,
1699372067273377700,17804.1312869,15:47:47:273378,H,,,
1699372077289081100,17814.1476788,15:47:57:289081,H,,,
1699372087305568500,17824.1641303,15:48:07:305568,H,,,
1699372097322101500,17834.1808991,15:48:17:322102,H,,,
1699372099564641100,17836.4227668,15:48:19:564641,FAKE:1200,,,
1699372100576297600,17837.4341233,15:48:20:576298,FAKE:1200,,,
1699372101592304700,17838.4510903,15:48:21:592305,FAKE:1200,,,
1699372102604265100,17839.4621029,15:48:22:604265,FAKE:1200,,,
1699372103614334100,17840.4730512,15:48:23:614334,FAKE:1200,,,
1699372104625322000,17841.4840519,15:48:24:625322,FAKE:1200,,,
1699372105635329400,17842.4940499,15:48:25:635329,FAKE:1200,,,
1699372106645408500,17843.5040518,15:48:26:645409,FAKE:1200,,,
1699372107338508900,17844.1965659,15:48:27:338509,H,,,
1699372107656313000,17844.5150493,15:48:27:656313,FAKE:1200,,,
1699372108666450200,17845.5250868,15:48:28:666450,FAKE:1200,,,
1699372109684296700,17846.5421842,15:48:29:684297,FAKE:1200,,,
1699372110699313300,17847.5580952,15:48:30:699313,FAKE:1200,,,
1699372111716877100,17848.5750545,15:48:31:716877,FAKE:1200,,,
1699372112727040900,17849.5850598,15:48:32:727041,FAKE:1200,,,
1699372113738406200,17850.5971507,15:48:33:738406,FAKE:1200,,,
1699372114749319100,17851.6080579,15:48:34:749319,FAKE:1200,,,
1699372115760292300,17852.6182063,15:48:35:760292,FAKE:1200,,,
1699372116774335700,17853.6330578,15:48:36:774336,FAKE:1200,,,
1699372117354738800,17854.2129692,15:48:37:354739,H,,,
1699372117792244400,17854.650087,15:48:37:792244,FAKE:1200,,,
1699372118805315400,17855.6640533,15:48:38:805315,FAKE:1200,,,
1699372119817228000,17856.6751729,15:48:39:817228,FAKE:1200,,,
1699372120831788100,17857.6901026,15:48:40:831788,FAKE:1200,,,
1699372121848285000,17858.706125,15:48:41:848285,FAKE:1200,,,
1699372122858325200,17859.7171005,15:48:42:858325,FAKE:1200,,,
1699372123869235300,17860.7270612,15:48:43:869235,FAKE:1200,,,
1699372124878668000,17861.7370933,15:48:44:878668,FAKE:1200,,,
1699372125895391700,17862.754054,15:48:45:895392,FAKE:1200,,,
1699372126906276400,17863.7650509,15:48:46:906276,FAKE:1200,,,
1699372127366717800,17864.2247325,15:48:47:366718,H,,,
1699372127917625100,17864.7760523,15:48:47:917625,FAKE:1200,,,
1699372128927587800,17865.786053,15:48:48:927588,FAKE:1200,,,
1699372137383411000,17874.2414048,15:48:57:383411,H,,,
1699372147399769700,17884.2577536,15:49:07:399770,H,,,
1699372157416016400,17894.2741096,15:49:17:416016,H,,,
1699372167432349300,17904.2908079,15:49:27:432349,H,,,
1699372169938409900,17906.7970424,15:49:29:938410,FAKE:1200,,,
1699372170948342400,17907.8070977,15:49:30:948342,FAKE:1200,,,
1699372171959212800,17908.8170551,15:49:31:959213,FAKE:1200,,,
1699372172973355800,17909.8321169,15:49:32:973356,FAKE:1200,,,
1699372173984349000,17910.8430933,15:49:33:984349,FAKE:1200,,,
1699372175000279400,17911.8581178,15:49:35:000279,FAKE:1200,,,
1699372176015396700,17912.8740526,15:49:36:015397,FAKE:1200,,,
1699372177027281000,17913.8851189,15:49:37:027281,FAKE:1200,,,
1699372177445754700,17914.3036635,15:49:37:445755,H,,,
1699372178037278500,17914.8951156,15:49:38:037278,FAKE:1200,,,
1699372179048283100,17915.9061206,15:49:39:048283,FAKE:1200,,,
1699372180062249200,17916.9200823,15:49:40:062249,FAKE:1200,,,
1699372181074363500,17917.9330993,15:49:41:074363,FAKE:1200,,,
1699372182091330100,17918.9492249,15:49:42:091330,FAKE:1200,,,
1699372183108427700,17919.9670791,15:49:43:108428,FAKE:1200,,,
1699372184122532300,17920.9810498,15:49:44:122532,FAKE:1200,,,
1699372185132278700,17921.99105,15:49:45:132279,FAKE:1200,,,
1699372186142279600,17923.001049,15:49:46:142280,FAKE:1200,,,
1699372187154280100,17924.012117,15:49:47:154280,FAKE:1200,,,
1699372187461768100,17924.3205337,15:49:47:461768,H,,,
1699372188165282100,17925.0231201,15:49:48:165282,FAKE:1200,,,
1699372193907068400,17930.7649688,15:49:53:907068,VECTOR_0 STARTED,0,Fake P300,[]
1699372195819033200,17932.6769612,15:49:55:819033,VECTOR 0 STOPPED,,,
1699372197478651400,17934.336939,15:49:57:478651,H,,,
1699372205674866900,17942.5330784,15:50:05:674867,P300:1000,,,
1699372206685824000,17943.543672,15:50:06:685824,P300:1200,,,
1699372207026970400,17943.8849202,15:50:07:026970,VECTOR_1 STARTED,1,Index of Time and Change que 2:10,[]
1699372207492725100,17944.3514815,15:50:07:492725,H,1,Index of Time and Change que 2:10,[]
1699372207695797900,17944.5545907,15:50:07:695798,P300:1200,1,Index of Time and Change que 2:10,[]
1699372208706107100,17945.5645904,15:50:08:706107,P300:1200,1,Index of Time and Change que 2:10,[]
1699372209717823000,17946.5756576,15:50:09:717823,P300:1200,1,Index of Time and Change que 2:10,[]
1699372210728823500,17947.5866584,15:50:10:728824,P300:1200,1,Index of Time and Change que 2:10,[]
1699372211738989500,17948.5975921,15:50:11:738990,P300:1200,1,Index of Time and Change que 2:10,[]
1699372212749863600,17949.6085923,15:50:12:749864,P300:1200,1,Index of Time and Change que 2:10,[]
1699372213760998900,17950.6196417,15:50:13:760999,P300:1200,1,Index of Time and Change que 2:10,[]
1699372214770849100,17951.6295921,15:50:14:770849,P300:1200,1,Index of Time and Change que 2:10,[]
1699372215781983800,17952.640593,15:50:15:781984,P300:1200,1,Index of Time and Change que 2:10,[]
1699372216792809400,17953.6506586,15:50:16:792809,P300:1200,1,Index of Time and Change que 2:10,[]
1699372217509385100,17954.3677539,15:50:17:509385,H,1,Index of Time and Change que 2:10,[]
1699372217803826000,17954.6616614,15:50:17:803826,P300:1200,1,Index of Time and Change que 2:10,[]
1699372218814827200,17955.6726617,15:50:18:814827,P300:1200,1,Index of Time and Change que 2:10,[]
1699372219824867200,17956.6835933,15:50:19:824867,P300:1000,1,Index of Time and Change que 2:10,[]
