U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699372730120174200,18466.97883,15:58:50:120174,H,,,
1699372740130356800,18476.9889301,15:59:00:130357,H,,,
1699372750141530200,18486.9999005,15:59:10:141530,H,,,
1699372760157603600,18497.0160696,15:59:20:157604,H,,,
1699372770171650800,18507.0295583,15:59:30:171651,H,,,
1699372780188814200,18517.0467139,15:59:40:188814,H,,,
1699372790200686200,18527.0585994,15:59:50:200686,H,,,
1699372798013166200,18534.871169,15:59:58:013166,TRANS:1600,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372799224671100,18536.0828157,15:59:59:224671,TRANS:1600,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372800217202100,18537.0753889,16:00:00:217202,H,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372800435538300,18537.2939565,16:00:00:435538,TRANS:1600,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372801653710600,18538.511816,16:00:01:653711,TRANS:1600,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372802864776500,18539.7228173,16:00:02:864776,TRANS:900,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372803876660100,18540.7349391,16:00:03:876660,VECTOR_2 STARTED,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372810235001200,18547.0929555,16:00:10:235001,H,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372820246659900,18557.1048838,16:00:20:246660,H,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372830263637800,18567.1215954,16:00:30:263638,H,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372840279665500,18577.1384454,16:00:40:279665,H,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372850297816100,18587.1557813,16:00:50:297816,H,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372860314634500,18597.1727034,16:01:00:314635,H,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372870331109500,18607.1890119,16:01:10:331109,H,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372880347022200,18617.2052695,16:01:20:347022,H,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372890357589900,18627.2158197,16:01:30:357590,H,2,Index of Breathing,"['Siin', 'Nathaniel', 'Matthias', 'Ben']"
1699372893894944900,18630.7531904,16:01:33:894945,VECTOR 2 STOPPED,,,
1699372900369516700,18637.2273864,16:01:40:369517,H,,,
