U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE
1699281506187165100,18297.4772551,14:38:26:187165,H
1699281516188623400,18307.4781818,14:38:36:188623,H
1699281526189959800,18317.479947,14:38:46:189960,H
1699281536192622500,18327.4821449,14:38:56:192623,H
1699281546196546000,18337.4862095,14:39:06:196546,H
1699281556202693000,18347.4932422,14:39:16:202693,H
1699281566210100600,18357.4997312,14:39:26:210100,H
1699281576216328600,18367.5058815,14:39:36:216329,H
1699281586219313400,18377.508997,14:39:46:219313,H
1699281596225279000,18387.5151963,14:39:56:225279,H
1699281606230320400,18397.5207677,14:40:06:230320,H
1699281616238410300,18407.5283298,14:40:16:238410,H
1699281626244865500,18417.5348442,14:40:26:244865,H
1699281636250179100,18427.5400502,14:40:36:250179,H
1699281646256110600,18437.5461617,14:40:46:256111,H
1699281656262451600,18447.5520848,14:40:56:262452,H
1699281666268334500,18457.5586039,14:41:06:268335,H
1699281676275202200,18467.5648963,14:41:16:275202,H
1699281686281184800,18477.5713424,14:41:26:281185,H
1699281696288196200,18487.5781726,14:41:36:288196,H
1699281706295484700,18497.5849723,14:41:46:295485,H
1699281716302263900,18507.5921072,14:41:56:302264,H
1699281726308952400,18517.5989774,14:42:06:308952,H
1699281736316139300,18527.6057131,14:42:16:316139,H
1699281746322037000,18537.6125305,14:42:26:322037,H
1699281756328095900,18547.6186376,14:42:36:328096,H
1699281766335729300,18557.6253636,14:42:46:335729,H
1699281776342651200,18567.6325403,14:42:56:342651,H
1699281786349279300,18577.6391212,14:43:06:349279,H
1699281796356156800,18587.6457582,14:43:16:356157,H
1699281806365193200,18597.6548562,14:43:26:365193,H
1699281816370800400,18607.660331,14:43:36:370800,H
1699281826378170700,18617.6678556,14:43:46:378171,H
1699281836384413500,18627.6744894,14:43:56:384413,H
1699281846392716400,18637.6823699,14:44:06:392716,H
1699281856400399300,18647.6908325,14:44:16:400399,H
1699281866409224100,18657.6988568,14:44:26:409224,H
1699281876416098300,18667.7060956,14:44:36:416098,H
1699281886423467600,18677.7131025,14:44:46:423468,H
1699281896429330700,18687.7196258,14:44:56:429331,H
1699281906436909900,18697.7267049,14:45:06:436910,H
1699281916444169900,18707.7338959,14:45:16:444170,H
1699281926451925000,18717.7416054,14:45:26:451925,H
1699281936459302100,18727.7490935,14:45:36:459302,H
1699281946467234500,18737.7568774,14:45:46:467235,H
1699281956473652400,18747.7636121,14:45:56:473652,H
1699281966480128600,18757.7706155,14:46:06:480129,H
1699281976487722900,18767.7772133,14:46:16:487723,H
1699281986495318500,18777.7851125,14:46:26:495318,H
1699281996502518400,18787.7930009,14:46:36:502518,H
1699282006505961100,18797.7955742,14:46:46:505961,H
1699282016512150300,18807.8018809,14:46:56:512150,H
1699282026519778700,18817.809424,14:47:06:519779,H
1699282036527253000,18827.8170021,14:47:16:527253,H
1699282046532409700,18837.8226937,14:47:26:532410,H
1699282056541069700,18847.8306343,14:47:36:541070,H
1699282066546770400,18857.8364576,14:47:46:546770,H
1699282076549163300,18867.8391918,14:47:56:549163,H
