U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE
1699272853747413300,9643.5992618,12:14:13:747413,H
1699272862334304000,9652.1858054,12:14:22:334304,sd
1699272864273576200,9654.1257477,12:14:24:273576,H
